TicketID,CreationDate,ResolutionDate,ReleaseIndex,ReleaseID,ReleaseName,ReleaseDate
"SYNCOPE-476","2014-01-14T14:41:44.000+0000","2014-01-15T09:58:30.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-475","2014-01-09T12:51:34.000+0000","2014-01-09T15:22:58.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-474","2014-01-09T11:28:43.000+0000","2014-01-09T16:03:35.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-466","2013-12-30T10:20:34.000+0000","2013-12-30T11:33:48.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-465","2013-12-29T14:27:15.000+0000","2013-12-31T11:59:05.000+0000",16,"12325662","1.1.6","2014-02-22T00:00"
"SYNCOPE-465","2013-12-29T14:27:15.000+0000","2013-12-31T11:59:05.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-462","2013-12-16T11:04:32.000+0000","2014-01-30T13:00:15.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-459","2013-12-04T12:39:22.000+0000","2013-12-14T09:42:22.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-459","2013-12-04T12:39:22.000+0000","2013-12-14T09:42:22.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-458","2013-12-03T17:28:14.000+0000","2014-06-10T09:47:23.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-457","2013-12-03T02:25:08.000+0000","2013-12-04T08:25:25.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-457","2013-12-03T02:25:08.000+0000","2013-12-04T08:25:25.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-456","2013-12-02T14:33:19.000+0000","2013-12-03T12:22:37.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-455","2013-11-29T12:17:33.000+0000","2013-12-04T11:48:37.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-454","2013-11-29T11:58:00.000+0000","2013-12-04T15:35:21.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-453","2013-11-29T11:50:59.000+0000","2013-12-03T16:17:39.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-452","2013-11-29T08:26:29.000+0000","2013-12-03T13:41:14.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-440","2013-11-15T06:33:33.000+0000","2013-11-21T10:09:13.000+0000",13,"12324604","1.1.3","2013-07-12T00:00"
"SYNCOPE-437","2013-11-13T08:46:33.000+0000","2013-11-13T12:06:53.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-436","2013-11-12T10:53:51.000+0000","2013-11-18T16:59:03.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-435","2013-11-08T15:17:04.000+0000","2013-11-12T08:57:56.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-434","2013-11-07T15:27:05.000+0000","2013-11-07T16:40:51.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-433","2013-11-07T14:14:14.000+0000","2013-11-07T15:22:40.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-426","2013-10-25T08:03:03.000+0000","2013-10-25T08:40:56.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-423","2013-10-02T15:18:47.000+0000","2013-11-20T11:42:05.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-423","2013-10-02T15:18:47.000+0000","2013-11-20T11:42:05.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-419","2013-10-01T14:28:19.000+0000","2013-10-01T14:50:29.000+0000",14,"12324763","1.1.4","2013-09-27T00:00"
"SYNCOPE-418","2013-09-20T09:21:05.000+0000","2013-09-20T13:56:34.000+0000",13,"12324604","1.1.3","2013-07-12T00:00"
"SYNCOPE-417","2013-09-20T07:26:23.000+0000","2013-09-20T08:28:10.000+0000",13,"12324604","1.1.3","2013-07-12T00:00"
"SYNCOPE-414","2013-09-18T08:23:49.000+0000","2014-01-28T08:20:00.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-412","2013-09-16T13:41:06.000+0000","2013-09-18T12:12:52.000+0000",13,"12324604","1.1.3","2013-07-12T00:00"
"SYNCOPE-404","2013-07-19T21:25:56.000+0000","2013-07-22T07:38:34.000+0000",9,"12322504","1.1.0","2013-04-05T00:00"
"SYNCOPE-404","2013-07-19T21:25:56.000+0000","2013-07-22T07:38:34.000+0000",13,"12324604","1.1.3","2013-07-12T00:00"
"SYNCOPE-401","2013-07-11T14:55:36.000+0000","2013-07-11T15:01:08.000+0000",12,"12324382","1.1.2","2013-06-11T00:00"
"SYNCOPE-400","2013-07-11T09:35:22.000+0000","2013-07-11T11:24:21.000+0000",10,"12324279","1.0.8","2013-04-18T00:00"
"SYNCOPE-400","2013-07-11T09:35:22.000+0000","2013-07-11T11:24:21.000+0000",12,"12324382","1.1.2","2013-06-11T00:00"
"SYNCOPE-399","2013-07-04T14:07:23.000+0000","2013-07-04T14:22:09.000+0000",12,"12324382","1.1.2","2013-06-11T00:00"
"SYNCOPE-399","2013-07-04T14:07:23.000+0000","2013-07-04T14:22:09.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-398","2013-07-01T13:08:32.000+0000","2013-07-01T13:50:32.000+0000",12,"12324382","1.1.2","2013-06-11T00:00"
